Node,x,y,z_altitude,vx,vy,vz,battery_list
N1,103.1373427444216,467.4994713061557,23.312488748593523,-3.702780742562104,-2.4979367385480145,-1.808630203721111,86.06586308506033
N2,281.471118915197,71.42848012369934,6.180774658824529,4.875904303617659,-0.47707393281358446,1.5566020040320874,93.33652949957187
N3,59.41436468893274,468.6513204024552,31.63945925647649,-4.7916982379546695,-0.0074321638563272785,-1.558358073731489,37.8818757572684
N4,438.1667749841475,461.7051003104354,9.285160147481692,-0.308856208941128,3.3990251690249114,2.332543263831809,60.8532918064132
N5,352.13407302588223,45.51361675246019,25.50546333321293,-4.958917202401111,3.4504854015388506,1.0174175149248503,69.90300923420216
N6,139.024034183285,415.94094498791475,4.945461695097259,-0.6971062346735,3.074881046432786,-1.43006877646219,77.74826390626203
N7,381.68580215312414,18.713777963253687,15.53094378048398,-0.3911568646015997,-3.290046774127171,-1.5166838287285285,85.55980769040607
N8,35.50158069412518,295.78130246595805,12.493729298207601,0.9521077640906759,4.728873507897562,0.13162531661861498,51.506575864721505
N9,497.13693304016243,251.68592082775103,49.31503893430061,4.581572912200219,-4.935859798491689,-2.0221125581563983,57.9017132976542
N10,174.59327249353262,370.3850829267091,6.883788521145679,0.20845278224666508,-3.319960363377934,-1.9470476980251772,35.702873720905
N11,450.17875006903654,173.43466113569934,28.53850865046545,0.6039048993789864,-0.08181713178507,-1.380969296008638,93.657413517051
N12,97.4375913055745,170.13091092500827,39.21137770282673,0.6679214573202064,0.0026613395254946326,-1.139301248315131,90.363054902366
N13,13.78515523154239,286.6071734549288,27.610508764693247,-2.6621672810763974,4.713926567831217,0.2924508157569945,30.730946400063402
N14,66.95489933688981,169.34023607820652,13.099962282785283,-4.578679011503073,-0.3742758506273631,-2.2033650124653303,63.87000488789898
N15,148.4373971172418,32.48732645606539,39.96147266868106,-4.69466702016989,-2.097826230875156,-2.1493336594996153,85.82721730666462
N16,218.00536659466334,252.7650701704981,14.572679482312262,-1.0763025713966012,-0.9379670507895996,-0.5841925574125406,47.229449735958454
N17,137.08408157778968,453.4596768419641,43.3202143744825,-3.6320656386487604,-1.5527890600240637,0.0021533410762639704,74.95216598149625
N18,264.5250860814426,50.219938187527845,26.28385205082951,-2.7271349616969576,0.2867575576738588,-0.4569246151595947,65.54344680722863
N19,237.36736454742612,268.3083851830465,42.48705344865553,-1.2184071949176878,2.128321648904449,-0.5464886169917083,48.023341783758056
N20,248.7877513656268,449.35420481935057,45.860546630071816,0.7282574787788381,2.304101485043427,0.6757853936787588,63.526168115338116
N21,286.5923266991655,151.38323286231852,18.834533745243657,0.23951842346201424,3.095673033241365,0.1669417542310212,64.84398916725203
N22,120.16148610186866,348.6371775746866,23.487155426259115,4.743317636789868,2.771130418026142,-1.35341413874987,41.747520734469106
N23,6.946311176550424,65.24828551165184,47.425125979418794,-1.1828313334905927,-2.9336918947865653,2.133444659988154,61.65180823729648
N24,82.32318719509696,363.7775646917843,40.26687884830439,4.973965961636905,2.575958196461123,-0.17424982991047777,38.92314929916101
N25,40.67567547416784,17.33819133775866,12.476387773546316,-0.062377145259551625,4.317912710473308,-0.34366887978492366,78.16327071026762
N26,335.5437864025118,280.0045319338162,25.719236869508215,1.5528080230117531,-0.6115544186471773,-1.9266862059209973,96.02458790661319
N27,67.47663077751365,402.80521241759357,25.52016566484625,-0.5363256075843212,0.3006695725566839,2.1391456860804956,99.48819169428532
N28,367.15417889996075,399.9047628102763,18.86980570648254,-0.5729571517320888,-3.552093839884063,-2.35850207559336,64.07427571913047
N29,232.98472909032043,397.1284135946972,20.658623090868428,-0.8017876155091574,1.885336161908934,0.3709096077473175,98.24406355812737
N30,76.0809794710276,343.60868171592296,22.536997204405424,-4.046188479625013,0.8598173412887054,0.6535368924365548,33.84434954726979
N31,455.5970097833804,333.17033516662264,28.261433375264794,0.004877697340241127,1.6176181127399367,1.08006990204123,60.33226617962916
N32,315.5439549427764,88.84724305990882,26.68006255171656,-1.313105003125845,4.870134574767199,-0.422287928374121,33.5013511772919
N33,64.97170358722248,431.44771864892164,4.592232755475234,2.348138605953441,1.436649677163361,0.9512811041081601,48.486671265421336
N34,246.36198747830824,396.4983023941689,18.347163304002624,-4.659752408946842,1.6962569733210477,0.32441298491038495,57.7572069139582
N35,329.71970430531826,151.40116222549744,25.966185170381127,-4.357768945082378,-2.630355680740901,-2.175243076475703,89.36262444756312
N36,379.2241038910391,469.0726901140749,48.622867292739684,0.42943872890568446,-0.46488711072994526,-2.4976451996796074,68.81101678903113
N37,73.53141277778319,103.74112809691832,32.03763375454839,3.9847417501914535,-4.8839170982655,0.3200884960548507,74.5800622425341
N38,35.14619870537206,46.06456969478312,31.65540840392517,2.9448276623097156,1.561384469813083,-0.052255468168342034,97.56403851222878
N39,61.160076751784196,257.20963132261426,29.591401719948646,2.2637315630028283,4.800976016134955,-2.4876369856476463,42.428310991475634
N40,66.11817669122871,235.93876017295895,21.53784242981041,-4.9787237022803925,-1.575369687300181,-1.7950444103181047,52.474644352069475
N41,226.42521693439295,419.87581051573886,38.78974493734531,2.904991657679731,0.25364141847985966,1.128348727661443,53.01776964567419
N42,354.1019097974479,348.06934747681095,42.84627770176462,0.7730105062029224,3.3587877972998275,-0.6221785529493995,66.12389640465618
N43,46.684122858783596,229.09154073158805,42.88966359009534,1.1726806103519287,2.2578792891937276,1.3262339463463007,66.30503564722756
N44,8.639259681256227,384.67555312139245,43.77675040050531,2.5331826581696495,1.943562966535196,1.020307050894182,59.896178665833745
N45,38.41987705057298,420.15142404989126,6.271280167717819,-0.6370241753633277,-0.6483477261810577,2.1182034051527685,69.98353190506415
N46,22.475605209385684,415.27768353672906,5.438744972496417,-0.8877834011475052,-3.487494846578465,-2.407355244643721,58.18153107046855
N47,179.32788742390986,75.72713673212894,30.237968473078226,3.0854609286473416,2.0353709303617142,1.0587900011814977,91.60983289834246
N48,321.8307874855781,22.09723707184136,17.643351589479362,3.5787434006306036,0.28232935077963983,0.5524665468592116,85.7710965760757
N49,366.125377792621,217.57577092347069,16.59156988732849,0.06831060756915086,-0.00942397183290744,-0.28529095728862375,31.352834756802885
